image_location,name,id,person_box_x1,person_box_x2,name_box_x1,name_box_x2,id_box_x1,id_box_x2
dataset\gen_cards\m0.jpg,اكرم ناشئ اسمر فكري,١٩ ٣٤٦ ١ ٠ ٥٢ ١٧ ١٣ ٣ ,"25,50","357,494","942,240","1217,388","640,630","1232,705"
dataset\gen_cards\m1.jpg,زين حنشل ابو بكر احسان,٤٤ ٨١٣ ١ ٧ ٩٦ ٥٧ ٣٩ ٤ ,"25,50","357,494","890,240","1217,388","640,630","1232,705"
dataset\gen_cards\m2.jpg,صمد عمران بارح ناصر,٨١ ٨٨٩ ٣ ٦ ٤٥ ٦٤ ٨٢ ٨ ,"25,50","357,494","933,240","1217,388","640,630","1232,705"
dataset\gen_cards\m3.jpg,سعد فارض جميل صلاح,١٩ ٧٦٤ ٦ ٧ ٩٦ ٧٠ ٨٦ ٢ ,"25,50","357,494","922,240","1217,388","640,630","1232,705"
dataset\gen_cards\m4.jpg,سيار ثائر عتابة فالح,٥٦ ٤٨٠ ٠ ٢ ٠٤ ١٨ ٧٤ ٠ ,"25,50","357,494","979,240","1217,388","640,630","1232,705"
dataset\gen_cards\m5.jpg,سيار غازي ايسر ضيغم,٤١ ٢٥٠ ٦ ٩ ٧٣ ٤٣ ٧١ ٩ ,"25,50","357,494","943,240","1217,388","640,630","1232,705"
dataset\gen_cards\m6.jpg,ساطع صباح مناف رغيب,٨٦ ٧٦٠ ٩ ٢ ٧٥ ٤٦ ٢٤ ٥ ,"25,50","357,494","928,240","1217,388","640,630","1232,705"
dataset\gen_cards\m7.jpg,جودة ريان فارع شيبان,٦٤ ٦١٩ ٩ ١ ٩٣ ٩٠ ٣٠ ٣ ,"25,50","357,494","951,240","1217,388","640,630","1232,705"
dataset\gen_cards\m8.jpg,مسلمة عصام ناهل عتابة,٠٢ ١٩٧ ٥ ٥ ٧٣ ٢٨ ٦٧ ٠ ,"25,50","357,494","946,240","1217,388","640,630","1232,705"
dataset\gen_cards\m9.jpg,غنيم زهير ذعار صارم,٢٤ ٨٨٧ ٣ ٩ ٢٥ ٥١ ١٤ ٣ ,"25,50","357,494","949,240","1217,388","640,630","1232,705"
dataset\gen_cards\m10.jpg,حافظ رسمي ولاء الدين جامع,٩٩ ٦٨٠ ٦ ٢ ١٧ ٤١ ٦٠ ٠ ,"25,50","357,494","859,240","1217,388","640,630","1232,705"
dataset\gen_cards\m11.jpg,سادن ابلج نصرة خالد,١٦ ٩٨٧ ٨ ٨ ٠٣ ٩٩ ١٠ ٨ ,"25,50","357,494","974,240","1217,388","640,630","1232,705"
dataset\gen_cards\m12.jpg,وسيم مامون بشير عازم,٩٦ ٦٥٢ ٧ ٤ ٥٥ ٦٠ ٥٤ ٩ ,"25,50","357,494","938,240","1217,388","640,630","1232,705"
dataset\gen_cards\m13.jpg,رافد ليث مطاوع سامي,٨٥ ٨٩٠ ٩ ٧ ١٧ ٥٠ ٤٧ ٧ ,"25,50","357,494","941,240","1217,388","640,630","1232,705"
dataset\gen_cards\m14.jpg,غانم عبدالواحد ذياب حسان,٩٧ ٥٣٠ ٦ ٤ ٥٧ ٣٥ ٥٩ ٩ ,"25,50","357,494","881,240","1217,388","640,630","1232,705"
dataset\gen_cards\m15.jpg,عاكف طاهر رشاد ناشئ,٦٥ ٠٥٥ ١ ٠ ٥٨ ٩٢ ٢٥ ٢ ,"25,50","357,494","948,240","1217,388","640,630","1232,705"
dataset\gen_cards\m16.jpg,زاكي رافد عز شاهر,١٧ ٩٥٥ ٦ ٤ ١٩ ٢٩ ٣٧ ٢ ,"25,50","357,494","990,240","1217,388","640,630","1232,705"
dataset\gen_cards\m17.jpg,داوود فطين ناهض ادريس,٤٤ ٤١٣ ٢ ٩ ٢٧ ٠٠ ٠٩ ٠ ,"25,50","357,494","910,240","1217,388","640,630","1232,705"
dataset\gen_cards\m18.jpg,شعبان زياد علاء تقي,٢٣ ١٩٨ ٠ ٠ ٨١ ٨٤ ٥١ ٨ ,"25,50","357,494","991,240","1217,388","640,630","1232,705"
dataset\gen_cards\m19.jpg,باهر مهند بادي رباح,٤٦ ١٤٦ ٢ ١ ٠٥ ٥٣ ٠٢ ١ ,"25,50","357,494","970,240","1217,388","640,630","1232,705"
dataset\gen_cards\m20.jpg,ستار ميلاد رضا توفيق,٨٩ ٩٤٢ ٠ ٦ ٨٠ ٧٥ ٥٩ ٣ ,"25,50","357,494","951,240","1217,388","640,630","1232,705"
dataset\gen_cards\m21.jpg,عبدالباسط فضل صائن مدرك,٤٧ ٤٣٨ ٩ ١ ٣٤ ٠٨ ٣٤ ٨ ,"25,50","357,494","944,240","1217,388","640,630","1232,705"
dataset\gen_cards\m22.jpg,جبر ضيغم وائل شوكت,١٦ ٦٨١ ٤ ٠ ١٨ ٨٥ ٧٣ ٢ ,"25,50","357,494","937,240","1217,388","640,630","1232,705"
dataset\gen_cards\m23.jpg,ركين سعود معن مراد,٠٧ ٤١٧ ٧ ٢ ٤١ ٤٠ ٥٠ ٦ ,"25,50","357,494","969,240","1217,388","640,630","1232,705"
dataset\gen_cards\m24.jpg,عكاشة مخلص ضياء راجي,٦٢ ٧١٣ ٨ ٩ ٧٨ ٢٢ ٤٣ ٧ ,"25,50","357,494","915,240","1217,388","640,630","1232,705"
dataset\gen_cards\m25.jpg,بندر ساهر جنادة مارسيل,٩٤ ٩٤٩ ٠ ٦ ٦٩ ١٧ ٢٦ ٣ ,"25,50","357,494","908,240","1217,388","640,630","1232,705"
dataset\gen_cards\m26.jpg,عنترة نذير عبدالقدوس اكمل,٢٦ ٩٠٤ ٢ ٧ ٠٩ ٣٠ ١٦ ١ ,"25,50","357,494","886,240","1217,388","640,630","1232,705"
dataset\gen_cards\m27.jpg,فائق عبدالفتاح مرتضا نوح,٨٤ ٤٧١ ٥ ٨ ٦٦ ١٥ ٤٩ ٩ ,"25,50","357,494","886,240","1217,388","640,630","1232,705"
